Név	Intezmeny	Szak	Felev	Hanyadik
Tor Gellért	Szegedi Tudományegyetem	programtervezõ matematikus	10	14
Tóth Virág	Budapesti Corvinus Egyetem	gazdaságinformatikus (BSc)	7	1
Tóth Virág	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	2
Tóth Virág	Budapesti Corvinus Egyetem	pénzügyi	10	3
Tóth Virág	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	4
Tóth Virág	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építõmérnöki (BSc)	8	5
Tóth Virág	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	6
Tóth Virág	Szegedi Tudományegyetem	informatikatanári-katolikus hittanár	10	7
Tóth Virág	Szegedi Tudományegyetem	informatikatanári-német	10	8
Tóth Virág	Szegedi Tudományegyetem	közgazdasági programozó matematikus	10	9
Tõzsér András	Budapesti Corvinus Egyetem	kertészmérnöki (BSc)	6	1
Tõzsér András	Budapesti Corvinus Egyetem	pénzügyi	10	2
Tõzsér András	Budapesti Corvinus Egyetem	szociológia	10	3
Tõzsér András	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	4
Tõzsér András	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építészmérnöki	10	5
Tõzsér András	Budapesti Mûszaki és Gazdaságtudományi Egyetem	ipari termék és formatervezõi (BSc)	7	6
Tõzsér András	Szegedi Tudományegyetem	ének-zenetanár (fõiskolai)-informatikatanári	10	7
Tõzsér András	Szegedi Tudományegyetem	informatikatanári-német nemzetiségi (fõiskolai)	10	8
Tõzsér András	Szegedi Tudományegyetem	informatikatanári-pedagógia	10	9
Tõzsér András	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	10
Varga Noémi	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	1
Varga Noémi	Budapesti Corvinus Egyetem	nemzetközi tanulmányok	10	2
Varga Noémi	Budapesti Corvinus Egyetem	településmérnöki	10	3
Varga Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építõmérnöki (BSc)	8	4
Varga Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	5
Varga Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök informatikus (BSc)	7	6
Varga Noémi	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mérnök-fizikus	10	7
Varga Noémi	Szegedi Tudományegyetem	angol-informatikatanári	10	8
Varga Noémi	Szegedi Tudományegyetem	informatikatanári-magyar	10	9
Varga Noémi	Szegedi Tudományegyetem	informatikatanári-matematika	10	10
Varga Noémi	Szegedi Tudományegyetem	informatikatanári-rajz (fõiskolai)	10	11
Varga Noémi	Szegedi Tudományegyetem	informatikatanári-szlovák nemzetiségi (fõiskolai)	10	12
Varga Noémi	Szegedi Tudományegyetem	programtervezõ matematikus	10	13
Varga Noémi	Szegedi Tudományegyetem	számítástechnika-tanári-technika	8	14
Veér László	Budapesti Corvinus Egyetem	élelmiszermérnöki (BSc)	6	1
Veér László	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	2
Veér László	Budapesti Corvinus Egyetem	pénzügyi	10	3
Veér László	Budapesti Corvinus Egyetem	szociológus-közgazdász	10	4
Veér László	Budapesti Corvinus Egyetem	településmérnöki	10	5
Veér László	Budapesti Mûszaki és Gazdaságtudományi Egyetem	építõmérnöki (BSc)	8	6
Veér László	Budapesti Mûszaki és Gazdaságtudományi Egyetem	gépészmérnöki (fõiskolai)	6	7
Veér László	Szegedi Tudományegyetem	ének-zenetanár (fõiskolai)-informatikatanári	10	8
Veér László	Szegedi Tudományegyetem	fizika-informatikatanári	10	9
Veér László	Szegedi Tudományegyetem	francia-informatikatanári	10	10
Veér László	Szegedi Tudományegyetem	informatikatanári-magyar	10	11
Veér László	Szegedi Tudományegyetem	informatikatanári-matematika	10	12
Veér László	Szegedi Tudományegyetem	informatikatanári-rajz (fõiskolai)	10	13
Veér László	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	14
Veér László	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	15
Veér László	Szegedi Tudományegyetem	közgazdasági programozó matematikus	10	16
Vékás László	Budapesti Corvinus Egyetem	pénzügyi	10	1
Vékás László	Budapesti Mûszaki és Gazdaságtudományi Egyetem	közlekedésmérnöki	10	2
Vékás László	Budapesti Mûszaki és Gazdaságtudományi Egyetem	matematikus	10	3
Vékás László	Budapesti Mûszaki és Gazdaságtudományi Egyetem	mechatronikai mérnöki (BSc)	7	4
Vékás László	Szegedi Tudományegyetem	informatikatanári-matematika	10	5
Vékás László	Szegedi Tudományegyetem	informatikatanári-német	10	6
Vékás László	Szegedi Tudományegyetem	informatikatanári-technika (fõiskolai)	10	7
Vékás László	Szegedi Tudományegyetem	informatikatanári-testnevelõ tanár (fõiskolai)	10	8
Vékás László	Szegedi Tudományegyetem	informatikatanári-történelem	10	9
Vékás László	Szegedi Tudományegyetem	közgazdasági programozó matematikus	10	10
Zavaros Máté	Budapesti Corvinus Egyetem	élelmiszermérnöki (BSc)	6	1
Zavaros Máté	Budapesti Corvinus Egyetem	gazdálkodási szakos közgazdász tanári	10	2
Zavaros Máté	Budapesti Corvinus Egyetem	kommunikáció-szociológia	10	3
Zavaros Máté	Budapesti Corvinus Egyetem	közgazdász tanári	10	4
Zavaros Máté	Budapesti Corvinus Egyetem	közgazdász-gazdálkodási	10	5
Zavaros Máté	Budapesti Corvinus Egyetem	nemzetközi kapcsolatok	10	6
Zavaros Máté	Budapesti Corvinus Egyetem	szociálpolitikus-közgazdász	10	7
Zavaros Máté	Budapesti Mûszaki és Gazdaságtudományi Egyetem	biomérnöki (BSc)	7	8
Zavaros Máté	Budapesti Mûszaki és Gazdaságtudományi Egyetem	villamosmérnöki (BSc)	7	9
Zavaros Máté	Szegedi Tudományegyetem	informatikatanári-latin	10	10
Zavaros Máté	Szegedi Tudományegyetem	informatikatanári-magyar	10	11
Zavaros Máté	Szegedi Tudományegyetem	informatikatanári-református hittanár	10	12
Zavaros Máté	Szegedi Tudományegyetem	mûszaki informatikai	10	13
Zavaros Máté	Szegedi Tudományegyetem	számítástechnika-tanári-technika	8	14
